Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
69,5258061939,awen419 (6/6),2.01,91.3,1B Royce Lewis 2B Luis Arraez 3B Bryson Stott C Victor Caratini OF Kyle Schwarber OF Bryce Harper OF Luke Keaschall P Taj Bradley P Aaron Nola SS Trea Turner,,Isaac Collins,OF,3.40%,0
70,5258267776,phildo76 (5/6),3.3500001,91,1B Willson Contreras 2B Chase Meidroth 3B Denzer Guzman C Moises Ballesteros OF Wilyer Abreu OF Mike Trout OF Josh Lowe P Sonny Gray P Walbert Urena SS Zach Neto,,Zach McKinstry,OF,3.40%,0
71,5258929241,jjworld86,0,90.65,1B Willson Contreras 2B Chase Meidroth 3B Miguel Vargas C Adley Rutschman OF Wilyer Abreu OF Randal Grichuk OF Tommy Pham P Taj Bradley P Nolan McLean SS Trevor Story,,Cam Smith,OF,2.91%,7
72,5258377005,gordylamb,0,90.5,1B Spencer Torkelson 2B Gleyber Torres 3B Maikel Garcia C Carter Jensen OF Riley Greene OF Isaac Collins OF Zach McKinstry P Taj Bradley P Walbert Urena SS Kevin McGonigle,,Taylor Trammell,OF,2.91%,18
72,5258657122,markandrewbray,0,90.5,1B Spencer Torkelson 2B Chase Meidroth 3B Maikel Garcia C Carter Jensen OF Kyle Schwarber OF Max Clark OF Tommy Pham P Taj Bradley P Walbert Urena SS Francisco Lindor,,Ezequiel Duran,3B,2.43%,0
72,5258741455,nvachani (2/6),0,90.5,1B Kyle Schwarber 2B Luis Arraez 3B Miguel Vargas C Jake Rogers OF Bryce Harper OF Randal Grichuk OF Tommy Pham P Taj Bradley P Walbert Urena SS Trea Turner,,Brandon Marsh,OF,2.43%,5
75,5258554623,cstcst (3/3),0,89.8,1B Jared Young 2B Brett Baty 3B Bo Bichette C Yainer Diaz OF Yordan Alvarez OF Carson Benge OF A.J. Ewing P Taj Bradley P Sonny Gray SS Jeremy Pena,,Justin Crawford,OF,2.43%,5
76,5258824115,Patriot721,2.01,89.65,1B Willson Contreras 2B Javier Baez 3B Caleb Durbin C Carter Jensen OF Yordan Alvarez OF Mike Trout OF Luke Keaschall P Taj Bradley P Nolan McLean SS Ben Ross,,LaMonte Wade Jr.,1B,2.43%,19
77,5259042923,mcw516,2.01,89.399994,1B Moises Ballesteros 2B Gleyber Torres 3B Kevin McGonigle C Dillon Dingler OF Mike Trout OF Riley Greene OF Max Clark P Walbert Urena P Framber Valdez SS Zach Neto,,Brett Baty,1B,2.43%,4
78,5258992208,mitchellmorse30 (5/6),3.3500001,89.2,1B Josh Bell 2B Kody Clemens 3B Brooks Lee C Victor Caratini OF Yordan Alvarez OF Carson Benge OF Luke Keaschall P Taj Bradley P Framber Valdez SS Francisco Lindor,,Jarren Duran,OF,1.94%,0
79,5258202719,Tugcaptain1970 (1/2),0,89.15,1B Spencer Torkelson 2B Chase Meidroth 3B Caleb Durbin C Dillon Dingler OF Wilyer Abreu OF A.J. Ewing OF Daulton Varsho P Sonny Gray P Nolan McLean SS Jeremy Pena,,Nick Morabito,OF,1.94%,3
80,5258659001,snowsnlabs,0,88.5,1B Willson Contreras 2B Nick Sogard 3B Josh Jung C Adley Rutschman OF Wyatt Langford OF Ezequiel Duran OF Brandon Nimmo P Taj Bradley P Walbert Urena SS Corey Seager,,Garrett Stubbs,C,1.94%,0
80,5258888321,AJTruth33 (2/2),0,88.5,1B Spencer Torkelson 2B Chase Meidroth 3B Miguel Vargas C Jake Rogers OF Juan Soto OF Brenton Doyle OF Tommy Pham P Taj Bradley P Walbert Urena SS Francisco Lindor,,Brenton Doyle,OF,1.94%,11
80,5258907363,TheDogSays (1/2),0,88.5,1B Kyle Schwarber 2B Luis Arraez 3B Miguel Vargas C Garrett Stubbs OF Bryce Harper OF Randal Grichuk OF Tommy Pham P Taj Bradley P Walbert Urena SS Trea Turner,,John Peck,SS,1.94%,3
80,5258933872,LesterNygaard,0,88.5,1B Jared Young 2B Michael Massey 3B Bryson Stott C Carter Jensen OF Jac Caglianone OF A.J. Ewing OF Max Clark P Taj Bradley P Walbert Urena SS Bobby Witt Jr.,,Brandon Nimmo,OF,1.94%,0
84,5258540486,SoccerGeek23 (1/3),0,88.2,1B Jared Young 2B Jose Altuve 3B Isaac Paredes C Francisco Alvarez OF Juan Soto OF Yordan Alvarez OF Daulton Varsho P Taj Bradley P Framber Valdez SS Francisco Lindor,,Nicky Lopez,2B,1.46%,2
85,5258945086,MillionDollarPoker (2/3),0.67,88.15,1B Jared Young 2B Jose Altuve 3B Isaac Paredes C Yainer Diaz OF Yordan Alvarez OF Luke Keaschall OF Randal Grichuk P Sonny Gray P Nolan McLean SS Jeremy Pena,,Oswald Peraza,2B,1.46%,8
86,5258721146,jjames1989,0.67,87.8,1B Willson Contreras 2B Kody Clemens 3B Caleb Durbin C Yainer Diaz OF Wilyer Abreu OF Roman Anthony OF Emmanuel Rodriguez P Taj Bradley P Sonny Gray SS Trevor Story,,Josh Lowe,OF,1.46%,10
86,5258554621,cstcst (1/3),0,87.8,1B Jared Young 2B Brett Baty 3B Maikel Garcia C Yainer Diaz OF Yordan Alvarez OF Jac Caglianone OF Jahmai Jones P Taj Bradley P Sonny Gray SS Jeremy Pena,,Ethan Pecko,P,1.46%,16.95
88,5258885365,marcsnichols (3/3),0,87.5,1B Spencer Torkelson 2B Michael Massey 3B Caleb Durbin C Dillon Dingler OF Jac Caglianone OF Riley Greene OF Max Clark P Walbert Urena P Aaron Nola SS Kevin McGonigle,,Denzer Guzman,3B,1.46%,5
